Temp (C),Dew Point Temp (C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Stn Press (kPa),hour_sin,hour_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_power_potential,output_mw_lag_1h,available_capacity_mw,weather_quality_bad,weather_quality_good
-0.6,-6.5,65,0.0,9.7,10,101.06,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7431448254773946,0.6691306063588578,912.6729999999998,60,120,1,0
-0.6,-7.3,60,0.0,10.9,10,101.05,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.6946583704589976,0.7193398003386509,1295.0290000000002,60,120,1,0
-0.5,-7.7,58,0.0,11.7,10,101.05,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7071067811865477,0.7071067811865474,1601.6129999999996,60,120,1,0
-0.8,-7.8,59,0.0,11.7,10,101.08,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7071067811865477,0.7071067811865474,1601.6129999999996,60,120,1,0
-1.5,-7.7,63,0.0,7.8,10,101.11,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.5591929034707466,0.8290375725550418,474.55199999999996,60,120,1,0
-2.2,-7.7,66,0.0,7.3,10,101.12,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.3420201433256686,0.9396926207859084,389.017,60,120,1,0
-2.3,-7.5,68,0.0,5.2,10,101.12,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.8290375725550416,0.559192903470747,140.608,60,120,1,0
-2.7,-7.7,68,0.0,10.0,10,101.16,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9743700647852352,0.22495105434386492,1000.0,60,120,1,0
-3.1,-8.1,68,0.0,9.7,10,101.16,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.9975640502598243,0.06975647374412522,912.6729999999998,60,120,1,0
-3.0,-7.9,69,0.0,9.9,10,101.14,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.984807753012208,-0.17364817766693033,970.2990000000001,60,120,1,0
-2.8,-7.3,71,0.0,11.8,10,101.13,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.9396926207859084,-0.34202014332566855,1643.0320000000004,60,120,1,0
-2.5,-6.9,72,0.0,13.1,10,101.09,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9335804264972016,-0.3583679495453007,2248.091,60,120,1,0
-2.2,-6.6,72,0.0,13.9,10,101.06,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.9063077870366502,-0.42261826174069916,2685.619,60,120,1,0
-2.0,-6.2,73,0.0,14.5,10,101.05,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.9205048534524403,-0.3907311284892738,3048.625,60,120,1,0
-2.0,-6.7,70,0.0,14.2,10,101.03999999999999,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.9335804264972016,-0.3583679495453007,2863.2879999999996,60,120,1,0
-2.3,-6.5,73,0.0,14.3,10,100.99,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.882947592858927,-0.46947156278589075,2924.2070000000003,60,120,1,0
-2.2,-6.1,75,0.0,15.6,10,100.95,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.8290375725550418,-0.5591929034707466,3796.4159999999997,60,120,0,1
-2.0,-5.9,74,0.0,16.8,10,100.94,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.8191520442889916,-0.5735764363510464,4741.6320000000005,60,120,0,1
-2.0,-5.8,75,0.0,17.4,10,100.92,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7880107536067221,-0.6156614753256581,5268.0239999999985,60,120,0,1
-1.3,-5.4,74,0.0,18.4,10,100.91,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7771459614569706,-0.6293203910498378,6229.503999999999,60,120,0,1
-1.1,-5.6,72,0.0,20.0,10,100.89,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7880107536067221,-0.6156614753256581,8000.0,60,120,0,1
-0.2,-5.8,65,0.0,25.3,10,100.88,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.8987940462991668,-0.43837114678907774,16194.277000000002,60,120,0,1
0.9,-6.1,60,0.0,24.0,10,100.83,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.8987940462991668,-0.43837114678907774,13824.0,60,120,0,1
1.8,-6.1,56,0.0,21.8,10,100.71000000000001,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.8571673007021121,-0.5150380749100544,10360.232000000002,60,120,0,1
2.7,-5.4,55,0.0,21.1,10,100.59,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7986355100472928,-0.6018150231520483,9393.931000000002,60,120,0,1
3.0,-4.8,57,0.0,21.1,10,100.51,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7986355100472928,-0.6018150231520483,9393.931000000002,60,120,0,1
2.9,-4.8,57,0.0,19.8,10,100.47999999999999,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7986355100472928,-0.6018150231520483,7762.392000000001,60,120,0,1
2.2,-4.2,63,0.0,17.6,10,100.47,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7193398003386512,-0.6946583704589973,5451.776000000002,60,120,0,1
0.7,-4.2,70,0.0,18.9,10,100.45,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.6293203910498376,-0.7771459614569708,6751.268999999998,60,120,0,1
0.0,-3.7,76,0.0,21.1,10,100.46000000000001,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.6819983600624984,-0.7313537016191706,9393.931000000002,60,120,0,1
-0.6,-4.2,77,0.0,19.5,10,100.45,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7771459614569706,-0.6293203910498378,7414.875,60,120,0,1
-1.3,-4.4,79,0.0,16.4,10,100.55,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.8386705679454242,-0.544639035015027,4410.943999999999,60,120,0,1
-1.2,-4.6,78,0.0,17.1,10,100.53,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,5000.211000000001,60,120,0,1
-1.2,-4.6,78,0.0,18.2,10,100.51,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.8910065241883678,-0.4539904997395469,6028.567999999999,60,120,0,1
-0.9,-4.4,77,0.0,19.3,10,100.5,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.8910065241883678,-0.4539904997395469,7189.057000000001,60,120,0,1
-0.6,-4.4,75,0.0,19.0,10,100.47999999999999,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.8910065241883678,-0.4539904997395469,6859.0,60,120,0,1
-0.2,-4.2,74,0.0,18.4,10,100.45,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.882947592858927,-0.46947156278589075,6229.503999999999,60,120,0,1
-0.1,-3.9,75,0.0,18.1,10,100.42999999999999,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.8571673007021121,-0.5150380749100544,5929.741000000002,60,120,0,1
0.2,-3.5,76,0.0,18.0,10,100.42999999999999,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.8746197071393959,-0.48480962024633684,5832.0,60,120,0,1
0.2,-3.3,77,0.0,18.2,10,100.42999999999999,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9063077870366502,-0.42261826174069916,6028.567999999999,60,120,0,1
0.3,-3.1,78,0.0,17.7,10,100.42,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.913545457642601,-0.4067366430758001,5545.232999999999,60,120,0,1
0.4,-3.0,78,0.0,18.0,10,100.42,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.9396926207859084,-0.34202014332566855,5832.0,60,120,0,1
0.4,-2.8,79,0.0,16.1,10,100.42999999999999,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.961261695938319,-0.2756373558169989,4173.281000000001,60,120,0,1
0.9,-1.9,82,0.1,14.6,10,100.42999999999999,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.9396926207859084,-0.34202014332566855,3112.136,60,120,1,0
1.0,-1.6,83,0.0,12.4,10,100.42999999999999,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.9271838545667873,-0.3746065934159123,1906.6240000000003,60,120,1,0
1.5,-1.2,82,0.0,13.2,10,100.42999999999999,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.8746197071393959,-0.48480962024633684,2299.968,60,120,1,0
2.2,-1.4,78,0.0,17.3,10,100.4,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.8571673007021121,-0.5150380749100544,5177.717000000001,60,120,0,1
2.8,-1.4,74,0.0,19.2,10,100.33,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,7077.887999999999,60,120,0,1
3.1,-2.0,69,0.0,18.1,10,100.28999999999999,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.8191520442889916,-0.5735764363510464,5929.741000000002,60,120,0,1
3.3,-2.7,65,0.0,17.0,10,100.24,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.8090169943749473,-0.5877852522924732,4913.0,60,120,0,1
2.8,-1.8,72,0.0,13.1,10,100.22,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7986355100472928,-0.6018150231520483,2248.091,60,120,1,0
2.2,-1.2,79,0.0,9.6,10,100.21000000000001,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.8290375725550418,-0.5591929034707466,884.7359999999999,60,120,1,0
1.6,-1.3,81,0.1,10.3,10,100.25,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.8746197071393959,-0.48480962024633684,1092.7270000000003,60,120,1,0
1.5,-1.5,81,0.1,11.5,10,100.28999999999999,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.9396926207859084,-0.34202014332566855,1520.875,60,120,1,0
1.1,-1.6,82,0.0,10.1,10,100.31,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.9945218953682734,-0.10452846326765336,1030.301,60,120,1,0
0.9,-1.8,82,0.0,13.8,10,100.28,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9659258262890683,-0.25881904510252063,2628.0720000000006,60,120,1,0
0.3,-2.0,85,0.0,12.1,10,100.25,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.984807753012208,-0.17364817766693033,1771.561,60,120,1,0
0.2,-2.0,86,0.0,14.5,10,100.25,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.9945218953682734,0.10452846326765299,3048.625,60,120,1,0
0.7,-2.0,82,0.0,15.2,10,100.26,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.9702957262759966,0.24192189559966742,3511.8079999999995,60,120,0,1
-0.2,-2.6,84,0.0,14.1,10,100.27000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.9659258262890684,0.2588190451025203,2803.221,60,120,1,0
-0.9,-3.6,82,0.0,19.3,10,100.32000000000001,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.8386705679454243,0.5446390350150266,7189.057000000001,60,120,0,1
-0.9,-4.2,78,0.0,23.0,10,100.4,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.4848096202463369,0.8746197071393959,12167.0,60,120,0,1
-2.2,-6.5,72,0.0,23.5,10,100.55,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.45399049973954697,0.8910065241883678,12977.875,60,120,0,1
-3.1,-7.9,69,0.0,22.4,10,100.64,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.4383711467890778,0.8987940462991668,11239.423999999997,60,120,0,1
-4.1,-9.1,68,0.0,23.0,10,100.71000000000001,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.4848096202463369,0.8746197071393959,12167.0,60,120,0,1
-5.1,-11.1,63,0.0,22.6,10,100.84,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.5150380749100545,0.8571673007021121,11543.176000000001,60,120,0,1
-6.3,-12.8,60,0.0,23.0,10,100.97999999999999,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.45399049973954697,0.8910065241883678,12167.0,60,120,0,1
-6.2,-11.6,65,0.0,23.0,10,101.1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.45399049973954697,0.8910065241883678,12167.0,60,120,0,1
-6.2,-12.6,61,0.0,18.7,10,101.22999999999999,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.4226182617406992,0.90630778703665,6539.2029999999995,60,120,0,1
-5.2,-13.4,53,0.0,15.5,10,101.32000000000001,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.4226182617406992,0.90630778703665,3723.875,60,120,0,1
